0, 0, 0, 0, 0, 0, 0, 0
1, 22, 22, 0, 0, 1, 1, 20
2, 8, 38, 0, 0, 3, 37, 32
3, 36, 18, 0, 0, 3, 33, 6
4, 30, 13, 0, 0, 3, 34, 39
5, 30, 34, 0, 0, 3, 33, 49
6, 11, 4, 0, 0, 3, 34, 32
7, 31, 9, 0, 0, 3, 39, 5
8, 10, 40, 0, 0, 3, 40, 12
9, 8, 1, 0, 0, 7, 59, 19
10, 4, 8, 0, 0, 7, 37, 14
11, 14, 5, 0, 0, 9, 34, 24
12, 5, 6, 0, 0, 9, 33, 18
13, 10, 30, 0, 0, 9, 35, 50
14, 34, 33, 0, 0, 9, 34, 32
15, 34, 18, 0, 0, 9, 29, 41
16, 11, 2, 0, 0, 5, 40, 48
17, 29, 22, 0, 0, 6, 33, 21
18, 14, 13, 0, 0, 6, 29, 37
19, 19, 26, 0, 0, 6, 36, 31
20, 38, 27, 0, 0, 6, 35, 48
21, 37, 13, 0, 0, 6, 38, 16
22, 2, 24, 0, 0, 12, 22, 28
23, 30, 24, 0, 0, 12, 22, 13
24, 21, 9, 0, 0, 12, 27, 20
25, 29, 21, 0, 0, 8, 38, 39
26, 35, 23, 0, 0, 8, 38, 34
27, 16, 20, 0, 0, 8, 36, 25
28, 24, 29, 0, 0, 8, 33, 37
29, 25, 2, 0, 0, 4, 19, 48
30, 24, 18, 0, 0, 4, 19, 34
31, 3, 14, 0, 0, 10, 39, 27
32, 16, 7, 0, 0, 1, 32, 29
33, 30, 10, 0, 0, 1, 31, 2
34, 7, 31, 0, 0, 1, 24, 26
35, 0, 0, 0, 37, 0, 2, 34
36, 0, 0, 38, 0, 0, 18, 34
37, 0, 0, 35, 38, 0, 6, 13
38, 0, 0, 37, 36, 0, 12, 40
39, 0, 0, 0, 0, 0, 0, 0
40, 19, 8, 0, 0, 4, 19, 0
41, 19, 4, 0, 0, 7, 20, 0
42, 6, 5, 0, 0, 10, 21, 0
43, 12, 25, 0, 0, 12, 22, 0
44, 21, 15, 0, 0, 11, 23, 0
45, 4, 7, 0, 0, 5, 24, 0
46, 7, 25, 0, 0, 4, 19, 0
47, 6, 30, 0, 0, 4, 19, 0
48, 36, 32, 0, 0, 4, 19, 0
49, 37, 22, 0, 0, 4, 19, 0
50, 25, 30, 0, 0, 4, 26, 0
51, 22, 26, 0, 0, 7, 25, 0
52, 6, 17, 0, 0, 7, 28, 0
53, 35, 13, 0, 0, 7, 29, 0
54, 24, 34, 0, 0, 7, 27, 0
55, 3, 32, 0, 0, 12, 27, 0
56, 21, 25, 0, 0, 12, 27, 0
57, 7, 18, 0, 0, 12, 22, 0
58, 26, 19, 0, 0, 12, 22, 0
59, 40, 25, 0, 0, 12, 22, 0
